pair,city,grade,supp,treatment,pre.score,post.score
1,F,1,S,T,13.8,48.9
2,F,1,R,T,16.5,70.5
3,F,1,S,T,18.5,89.7
4,F,1,R,T,8.8,44.2
5,F,1,S,T,15.3,77.5
6,F,1,R,T,15,84.7
7,F,1,R,T,19.4,78.9
8,F,1,S,T,15,86.8
9,F,1,S,T,11.8,60.8
10,F,1,S,T,16.4,75.7
11,F,1,S,T,16.2,95.1
12,F,2,R,T,55.1,81.6
13,F,2,R,T,73.1,101.2
14,F,2,R,T,51.4,66.4
15,F,2,S,T,62.3,96.2
16,F,2,S,T,69.7,101.3
17,F,2,S,T,70.9,108.9
18,F,2,S,T,82.5,114.6
19,F,2,S,T,83.9,111.7
20,F,2,R,T,69.8,97.3
21,F,2,S,T,69.2,96.5
22,F,2,S,T,75.1,94.9
23,F,2,S,T,68.2,104.8
24,F,2,R,T,83.5,104.5
25,F,2,R,T,71.7,108.3
26,F,3,S,T,77.6,92.8
27,F,3,S,T,96.5,104.9
28,F,3,S,T,64.2,88.9
29,F,3,R,T,88.3,109.9
30,F,3,S,T,88.6,98.9
31,F,3,R,T,102.4,113.1
32,F,3,S,T,105,114.1
33,F,3,S,T,101.4,114
34,F,3,S,T,102.6,114
35,F,3,S,T,76.4,92.4
36,F,4,S,T,105.9,116.2
37,F,4,R,T,100.8,116.9
38,F,4,R,T,91.7,106.9
39,F,4,R,T,97.5,104.6
40,F,4,R,T,106.5,114.2
41,F,4,S,T,107.4,113.6
42,F,4,S,T,111.4,116.6
43,F,4,S,T,110,114.8
44,F,4,S,T,106.9,114.9
45,F,4,R,T,106.7,111
46,F,4,S,T,104.1,113.9
47,Y,1,R,T,12,60.6
48,Y,1,S,T,12.3,55.5
49,Y,1,S,T,17.2,84.8
50,Y,1,S,T,14.6,84.9
51,Y,1,S,T,18.9,101.9
52,Y,1,R,T,15.3,70.6
53,Y,1,R,T,16.6,78.4
54,Y,1,S,T,16,84.2
55,Y,1,S,T,20.1,108.6
56,Y,1,S,T,16.4,76.6
57,Y,2,S,T,80.3,101.9
58,Y,2,R,T,76.6,100.1
59,Y,2,S,T,70.1,91.7
60,Y,2,R,T,60.9,92.5
61,Y,2,R,T,72.3,94.4
62,Y,2,S,T,78.6,101.3
63,Y,2,S,T,77.4,102.2
64,Y,2,S,T,71.8,100.6
65,Y,2,S,T,93,113.8
66,Y,2,R,T,97.7,114.3
67,Y,2,R,T,65.7,87.9
68,Y,2,S,T,80.4,105.6
69,Y,2,S,T,75.6,102.5
70,Y,2,S,T,68.4,93.6
71,Y,2,S,T,83.3,109.2
72,Y,2,R,T,93.7,111.2
73,Y,2,R,T,87.3,106.4
74,Y,2,R,T,95.2,110.6
75,Y,2,S,T,80.4,112.1
76,Y,2,S,T,85.4,113.3
77,Y,3,S,T,98,111.1
78,Y,3,S,T,83.3,98.9
79,Y,3,S,T,100.8,112.2
80,Y,3,R,T,103.8,114.5
81,Y,3,S,T,100.7,110.3
82,Y,3,R,T,97,103.7
83,Y,3,R,T,97.3,110.8
84,Y,3,S,T,94.5,108.9
85,Y,3,S,T,97.7,109.6
86,Y,3,S,T,93.9,107.2
87,Y,4,R,T,109.7,115.6
88,Y,4,S,T,110.6,116.2
89,Y,4,R,T,115.2,119.6
90,Y,4,S,T,101.9,109.6
91,Y,4,S,T,119.8,122
92,Y,4,S,T,108.8,109.7
93,Y,4,S,T,104.6,112.4
94,Y,4,S,T,111.1,115.5
95,Y,4,R,T,115.5,119.7
96,Y,4,R,T,107.2,111.5
1,F,1,S,C,12.3,52.3
2,F,1,R,C,14.4,55
3,F,1,S,C,17.7,80.4
4,F,1,R,C,11.5,47
5,F,1,S,C,16.4,69.7
6,F,1,R,C,16.8,74.1
7,F,1,R,C,18.7,72.7
8,F,1,S,C,18.2,97.3
9,F,1,S,C,15.4,74.1
10,F,1,S,C,18.7,76.3
11,F,1,S,C,17.1,84.5
12,F,2,R,C,50.3,69.1
13,F,2,R,C,63.3,77
14,F,2,R,C,50.6,72.9
15,F,2,S,C,66.4,94.4
16,F,2,S,C,73.7,98
17,F,2,S,C,46,82.4
18,F,2,S,C,88.6,104.9
19,F,2,S,C,78.4,102.4
20,F,2,R,C,61.1,95.3
21,F,2,S,C,68.9,89.5
22,F,2,S,C,66.6,80
23,F,2,S,C,67.5,96.9
24,F,2,R,C,87.3,102.9
25,F,2,R,C,40.8,68.9
26,F,3,S,C,103.7,110.6
27,F,3,S,C,95.4,107.6
28,F,3,S,C,68.6,90.5
29,F,3,R,C,91.1,105.8
30,F,3,S,C,97.8,110.6
31,F,3,R,C,100.6,111.3
32,F,3,S,C,99.6,107.1
33,F,3,S,C,98.7,105.8
34,F,3,S,C,104,111
35,F,3,S,C,78,91.7
36,F,4,S,C,81.2,95.5
37,F,4,R,C,102.5,109.4
38,F,4,R,C,78.4,94
39,F,4,R,C,91.9,101
40,F,4,R,C,110.3,115.3
41,F,4,S,C,104.9,110.6
42,F,4,S,C,89.7,96
43,F,4,S,C,106.2,111.7
44,F,4,S,C,106.2,115.9
45,F,4,R,C,111.9,113.9
46,F,4,S,C,109.4,114.4
47,Y,1,R,C,11.9,54.6
48,Y,1,S,C,15.1,56.5
49,Y,1,S,C,16.8,75.2
50,Y,1,S,C,15.8,71.1
51,Y,1,S,C,15.8,75.6
52,Y,1,R,C,13.9,55.3
53,Y,1,R,C,14.5,59.3
54,Y,1,S,C,17,87
55,Y,1,S,C,15.8,73.7
56,Y,1,S,C,14.3,52.9
57,Y,2,S,C,90,110.3
58,Y,2,R,C,81.3,98.9
59,Y,2,S,C,74.9,97.2
60,Y,2,R,C,72,97.2
61,Y,2,R,C,52.2,67.6
62,Y,2,S,C,81.2,103.9
63,Y,2,S,C,82,103.8
64,Y,2,S,C,73.8,93.4
65,Y,2,S,C,81.1,103.1
66,Y,2,R,C,78.8,101.2
67,Y,2,R,C,63.2,83.6
68,Y,2,S,C,77.6,103
69,Y,2,S,C,65.9,88.5
70,Y,2,S,C,68.9,97.8
71,Y,2,S,C,78.8,103.6
72,Y,2,R,C,88.4,105.8
73,Y,2,R,C,86.5,99.6
74,Y,2,R,C,89.5,104.8
75,Y,2,S,C,55.9,86
76,Y,2,S,C,52.6,85.3
77,Y,3,S,C,95.3,102.9
78,Y,3,S,C,103.6,110.4
79,Y,3,S,C,108.1,115.3
80,Y,3,R,C,109.1,114.7
81,Y,3,S,C,98.9,110.2
82,Y,3,R,C,87.4,98.3
83,Y,3,R,C,92.5,101.9
84,Y,3,S,C,89,100.8
85,Y,3,S,C,100.6,111.6
86,Y,3,S,C,94,105.4
87,Y,4,R,C,111.8,116.2
88,Y,4,S,C,112.1,115.7
89,Y,4,R,C,113.9,118
90,Y,4,S,C,106.3,110.9
91,Y,4,S,C,110.8,113.4
92,Y,4,S,C,107.5,111.2
93,Y,4,S,C,110,113.3
94,Y,4,S,C,111.6,115.9
95,Y,4,R,C,109.8,115.2
96,Y,4,R,C,102.6,110