draft,year,ideology,state
0,1950,3,CO
0,1950,2,CO
0,1950,1,CO
0,1950,3,CO
0,1950,3,CO
0,1950,2,CO
0,1950,1,CO
0,1950,1,CO
0,1950,3,CO
0,1950,2,CO
0,1950,2,CO
0,1950,2,CO
0,1950,5,CO
0,1950,2,CO
0,1950,3,CO
0,1950,3,CO
0,1950,2,CO
0,1950,1,CO
0,1950,2,CO
0,1950,3,CO
0,1950,3,CO
0,1950,2,CO
0,1950,1,CO
0,1950,4,CO
0,1950,3,CO
0,1950,3,CO
0,1950,2,CO
0,1950,1,CO
0,1950,3,CO
0,1950,4,CO
0,1950,1,CO
0,1950,5,CO
0,1950,3,CO
0,1950,1,CO
0,1950,4,CO
0,1950,3,CO
0,1950,3,CO
0,1950,4,CO
0,1950,2,CO
0,1950,4,CO
0,1950,3,CO
0,1950,2,CO
0,1950,4,CO
0,1950,4,CO
0,1950,5,CO
0,1950,3,CO
0,1950,3,CO
0,1950,2,CO
0,1950,2,CO
0,1950,NA,CO
0,1950,4,CO
0,1951,4,CO
0,1951,3,CO
0,1951,4,CO
0,1951,3,CO
0,1951,1,CO
0,1951,3,CO
0,1951,3,CO
0,1951,2,CO
0,1951,2,CO
0,1951,4,CO
0,1951,2,CO
0,1951,3,CO
0,1951,1,CO
0,1951,3,CO
0,1951,4,CO
0,1951,4,CO
0,1951,3,CO
0,1951,3,CO
0,1951,4,CO
0,1951,5,CO
0,1951,3,CO
0,1951,3,CO
0,1951,2,CO
0,1951,2,CO
0,1951,2,CO
0,1951,3,CO
0,1951,4,CO
0,1951,2,CO
0,1951,3,CO
0,1951,5,CO
0,1951,4,CO
0,1951,3,CO
0,1951,4,CO
0,1951,3,CO
0,1951,3,CO
0,1951,5,CO
0,1951,3,CO
0,1951,2,CO
0,1951,4,CO
0,1951,3,CO
0,1951,4,CO
0,1951,3,CO
0,1951,2,CO
0,1951,5,CO
0,1951,2,CO
0,1952,3,CO
0,1952,1,CO
0,1952,2,CO
0,1952,4,CO
0,1952,2,CO
0,1952,4,CO
0,1952,4,CO
0,1952,3,CO
0,1952,4,CO
0,1952,3,CO
0,1952,3,CO
0,1952,4,CO
0,1952,4,CO
0,1952,4,CO
0,1952,2,CO
0,1952,3,CO
0,1952,NA,CO
0,1952,2,CO
0,1952,2,CO
0,1952,3,CO
0,1952,1,CO
0,1952,3,CO
0,1952,2,CO
0,1952,4,CO
0,1952,5,CO
0,1952,3,CO
0,1952,3,CO
0,1952,2,CO
0,1952,4,CO
0,1952,2,CO
0,1952,2,CO
0,1952,2,CO
0,1952,2,CO
0,1950,1,OR
0,1950,3,OR
0,1950,4,OR
0,1950,3,OR
0,1950,2,OR
0,1950,4,OR
0,1950,3,OR
0,1950,3,OR
0,1950,4,OR
0,1950,3,OR
0,1950,3,OR
0,1950,2,OR
0,1950,3,OR
0,1950,4,OR
0,1950,3,OR
0,1950,2,OR
0,1950,2,OR
0,1950,2,OR
0,1950,3,OR
0,1950,2,OR
0,1950,NA,OR
0,1950,2,OR
0,1950,3,OR
0,1950,3,OR
0,1950,2,OR
0,1950,3,OR
0,1950,3,OR
0,1950,3,OR
0,1950,2,OR
0,1950,2,OR
0,1950,2,OR
0,1950,5,OR
0,1950,3,OR
0,1950,4,OR
0,1950,2,OR
0,1950,4,OR
0,1950,4,OR
0,1950,3,OR
0,1950,NA,OR
0,1950,1,OR
0,1950,3,OR
0,1950,4,OR
0,1950,3,OR
0,1950,3,OR
0,1950,5,OR
0,1950,3,OR
0,1950,2,OR
0,1950,5,OR
0,1950,2,OR
0,1950,2,OR
0,1950,3,OR
0,1950,2,OR
0,1950,4,OR
0,1950,5,OR
0,1950,2,OR
0,1950,1,OR
0,1950,3,OR
0,1950,4,OR
0,1950,5,OR
0,1950,3,OR
0,1950,3,OR
0,1950,5,OR
0,1950,5,OR
0,1951,4,OR
0,1951,4,OR
0,1951,5,OR
0,1951,3,OR
0,1951,2,OR
0,1951,4,OR
0,1951,NA,OR
0,1951,1,OR
0,1951,5,OR
0,1951,5,OR
0,1951,5,OR
0,1951,3,OR
0,1951,5,OR
0,1951,2,OR
0,1951,3,OR
0,1951,1,OR
0,1951,1,OR
0,1951,NA,OR
0,1951,3,OR
0,1951,4,OR
0,1951,3,OR
0,1951,5,OR
0,1951,5,OR
0,1951,3,OR
0,1951,2,OR
0,1951,3,OR
0,1951,3,OR
0,1951,5,OR
0,1951,2,OR
0,1951,3,OR
0,1951,3,OR
0,1951,4,OR
0,1951,4,OR
0,1951,5,OR
0,1951,3,OR
0,1951,3,OR
0,1951,5,OR
0,1951,4,OR
0,1951,3,OR
0,1951,4,OR
0,1951,3,OR
0,1951,2,OR
0,1951,4,OR
0,1951,3,OR
0,1951,4,OR
0,1951,2,OR
0,1951,3,OR
0,1951,3,OR
0,1951,3,OR
0,1951,3,OR
0,1951,5,OR
0,1951,4,OR
0,1951,3,OR
0,1951,3,OR
0,1951,3,OR
0,1951,3,OR
0,1951,3,OR
0,1951,5,OR
0,1951,4,OR
0,1951,4,OR
0,1951,3,OR
0,1951,1,OR
0,1951,1,OR
0,1951,1,OR
0,1951,2,OR
0,1951,2,OR
0,1951,2,OR
0,1951,3,OR
0,1951,3,OR
0,1951,5,OR
0,1951,3,OR
0,1951,2,OR
0,1951,2,OR
0,1952,1,OR
0,1952,1,OR
0,1952,5,OR
0,1952,3,OR
0,1952,5,OR
0,1952,5,OR
0,1952,5,OR
0,1952,2,OR
0,1952,3,OR
0,1952,3,OR
0,1952,2,OR
0,1952,2,OR
0,1952,4,OR
0,1952,4,OR
0,1952,3,OR
0,1952,2,OR
0,1952,3,OR
0,1952,2,OR
0,1952,4,OR
0,1952,4,OR
0,1952,4,OR
0,1952,4,OR
0,1952,4,OR
0,1952,5,OR
0,1952,5,OR
0,1952,3,OR
0,1952,4,OR
0,1952,2,OR
0,1952,2,OR
0,1952,1,OR
0,1952,4,OR
0,1952,4,OR
0,1952,4,OR
0,1952,3,OR
0,1952,3,OR
0,1952,2,OR
0,1952,4,OR
0,1952,4,OR
0,1952,5,OR
0,1952,3,OR
0,1952,3,OR
0,1952,4,OR
0,1952,3,OR
0,1952,3,OR
0,1952,3,OR
0,1952,4,OR
0,1952,3,OR
0,1952,3,OR
0,1952,2,OR
0,1952,3,OR
0,1952,4,OR
0,1952,5,OR
0,1952,3,OR
0,1952,3,OR
0,1952,3,OR
0,1952,2,OR
0,1952,4,OR
1,1950,3,CO
1,1950,4,CO
1,1950,5,CO
1,1950,3,CO
1,1950,1,CO
1,1950,1,CO
1,1950,2,CO
1,1950,3,CO
1,1950,4,CO
1,1950,3,CO
1,1950,NA,CO
1,1950,4,CO
1,1950,NA,CO
1,1950,4,CO
1,1950,4,CO
1,1950,2,CO
1,1950,3,CO
1,1950,5,CO
1,1950,3,CO
1,1950,5,CO
1,1950,2,CO
1,1950,4,CO
1,1950,5,CO
1,1950,2,CO
1,1950,4,CO
1,1950,4,CO
1,1950,5,CO
1,1950,3,CO
1,1950,5,CO
1,1950,2,CO
1,1950,3,CO
1,1950,1,CO
1,1950,3,CO
1,1950,3,CO
1,1950,3,CO
1,1950,3,CO
1,1950,3,CO
1,1950,2,CO
1,1950,2,CO
1,1950,3,CO
1,1950,2,CO
1,1951,2,CO
1,1951,3,CO
1,1951,2,CO
1,1951,2,CO
1,1951,3,CO
1,1951,4,CO
1,1951,2,CO
1,1951,3,CO
1,1951,4,CO
1,1951,4,CO
1,1951,3,CO
1,1951,4,CO
1,1951,2,CO
1,1951,2,CO
1,1951,3,CO
1,1951,4,CO
1,1951,5,CO
1,1951,4,CO
1,1951,4,CO
1,1951,1,CO
1,1951,3,CO
1,1951,3,CO
1,1951,3,CO
1,1951,3,CO
1,1951,4,CO
1,1951,3,CO
1,1951,3,CO
1,1951,3,CO
1,1951,3,CO
1,1951,3,CO
1,1951,3,CO
1,1951,2,CO
1,1951,2,CO
1,1951,3,CO
1,1951,3,CO
1,1951,2,CO
1,1951,3,CO
1,1951,3,CO
1,1951,4,CO
1,1951,3,CO
1,1951,3,CO
1,1951,3,CO
1,1951,3,CO
1,1951,3,CO
1,1951,NA,CO
1,1951,2,CO
1,1951,2,CO
1,1951,2,CO
1,1951,2,CO
1,1951,2,CO
1,1951,3,CO
1,1951,4,CO
1,1951,4,CO
1,1952,3,CO
1,1952,2,CO
1,1952,3,CO
1,1952,2,CO
1,1952,4,CO
1,1952,2,CO
1,1952,2,CO
1,1952,3,CO
1,1952,3,CO
1,1952,3,CO
1,1952,3,CO
1,1952,5,CO
1,1952,4,CO
1,1952,3,CO
1,1952,3,CO
1,1952,4,CO
1,1952,3,CO
1,1952,3,CO
1,1952,1,CO
1,1952,4,CO
1,1952,3,CO
1,1952,1,CO
1,1952,NA,CO
1,1952,2,CO
1,1952,2,CO
1,1952,2,CO
1,1952,4,CO
1,1952,3,CO
1,1952,3,CO
1,1952,2,CO
1,1952,5,CO
1,1952,5,CO
1,1952,2,CO
1,1952,2,CO
1,1952,2,CO
1,1952,2,CO
1,1952,4,CO
1,1952,3,CO
1,1952,1,CO
1,1952,4,CO
1,1952,1,CO
1,1952,2,CO
1,1952,NA,CO
1,1952,3,CO
1,1952,4,CO
1,1952,2,CO
1,1952,3,CO
1,1952,4,CO
1,1952,3,CO
1,1952,2,CO
1,1952,2,CO
1,1952,3,CO
1,1952,2,CO
1,1952,2,CO
1,1952,4,CO
1,1952,2,CO
1,1952,2,CO
1,1952,4,CO
1,1952,2,CO
1,1952,2,CO
1,1952,2,CO
1,1950,2,OR
1,1950,3,OR
1,1950,2,OR
1,1950,3,OR
1,1950,4,OR
1,1950,2,OR
1,1950,3,OR
1,1950,3,OR
1,1950,1,OR
1,1950,3,OR
1,1950,4,OR
1,1950,4,OR
1,1950,2,OR
1,1950,3,OR
1,1950,2,OR
1,1950,3,OR
1,1950,3,OR
1,1950,NA,OR
1,1950,2,OR
1,1950,2,OR
1,1950,3,OR
1,1950,5,OR
1,1950,4,OR
1,1950,3,OR
1,1950,4,OR
1,1950,3,OR
1,1950,5,OR
1,1950,3,OR
1,1950,4,OR
1,1950,4,OR
1,1950,3,OR
1,1950,2,OR
1,1950,2,OR
1,1950,3,OR
1,1950,5,OR
1,1950,4,OR
1,1950,4,OR
1,1950,2,OR
1,1950,4,OR
1,1950,4,OR
1,1950,3,OR
1,1950,2,OR
1,1950,2,OR
1,1950,5,OR
1,1950,4,OR
1,1950,2,OR
1,1950,3,OR
1,1950,5,OR
1,1950,3,OR
1,1950,3,OR
1,1950,2,OR
1,1950,4,OR
1,1950,4,OR
1,1950,3,OR
1,1950,1,OR
1,1950,5,OR
1,1950,3,OR
1,1950,4,OR
1,1950,4,OR
1,1950,4,OR
1,1950,4,OR
1,1950,4,OR
1,1951,1,OR
1,1951,5,OR
1,1951,1,OR
1,1951,3,OR
1,1951,4,OR
1,1951,5,OR
1,1951,3,OR
1,1951,3,OR
1,1951,3,OR
1,1951,5,OR
1,1951,1,OR
1,1951,4,OR
1,1951,3,OR
1,1951,2,OR
1,1951,3,OR
1,1951,NA,OR
1,1951,3,OR
1,1951,3,OR
1,1951,5,OR
1,1951,5,OR
1,1951,3,OR
1,1951,2,OR
1,1951,2,OR
1,1951,3,OR
1,1951,4,OR
1,1951,3,OR
1,1951,1,OR
1,1951,3,OR
1,1951,3,OR
1,1951,3,OR
1,1951,1,OR
1,1951,3,OR
1,1951,2,OR
1,1951,3,OR
1,1951,4,OR
1,1951,3,OR
1,1951,1,OR
1,1951,5,OR
1,1951,3,OR
1,1951,3,OR
1,1951,4,OR
1,1951,3,OR
1,1951,4,OR
1,1951,2,OR
1,1951,3,OR
1,1951,3,OR
1,1951,2,OR
1,1951,2,OR
1,1951,3,OR
1,1951,3,OR
1,1951,4,OR
1,1951,4,OR
1,1951,2,OR
1,1951,2,OR
1,1951,2,OR
1,1951,3,OR
1,1951,3,OR
1,1951,3,OR
1,1951,2,OR
1,1951,3,OR
1,1951,3,OR
1,1951,1,OR
1,1951,2,OR
1,1952,3,OR
1,1952,3,OR
1,1952,3,OR
1,1952,5,OR
1,1952,4,OR
1,1952,3,OR
1,1952,5,OR
1,1952,5,OR
1,1952,4,OR
1,1952,2,OR
1,1952,3,OR
1,1952,2,OR
1,1952,4,OR
1,1952,3,OR
1,1952,2,OR
1,1952,4,OR
1,1952,2,OR
1,1952,4,OR
1,1952,3,OR
1,1952,2,OR
1,1952,4,OR
1,1952,2,OR
1,1952,2,OR
1,1952,4,OR
1,1952,4,OR
1,1952,2,OR
1,1952,5,OR
1,1952,4,OR
1,1952,4,OR
1,1952,2,OR
1,1952,4,OR
1,1952,3,OR
1,1952,3,OR
1,1952,3,OR
1,1952,2,OR
1,1952,3,OR
1,1952,5,OR
1,1952,1,OR
1,1952,3,OR
1,1952,4,OR
1,1952,2,OR
1,1952,4,OR
1,1952,5,OR
1,1952,5,OR
1,1952,3,OR
1,1952,4,OR
1,1952,3,OR
1,1952,NA,OR
1,1952,2,OR
1,1952,3,OR
1,1952,2,OR
1,1952,NA,OR
1,1952,4,OR
1,1952,3,OR
1,1952,4,OR
1,1952,4,OR
1,1952,3,OR
1,1952,1,OR
1,1952,2,OR
1,1952,5,OR
1,1952,1,OR
1,1952,4,OR
1,1952,5,OR
1,1952,3,OR
1,1952,2,OR
1,1952,3,OR
1,1952,2,OR
1,1952,4,OR
1,1952,4,OR
1,1952,2,OR
1,1952,3,OR
1,1952,3,OR
1,1952,4,OR
